Trial,Response,s1,s2,s3,invord,i1,i2,i3
132,1,0.30,0.50,0.60,0,4,6,7
133,0,1.00,0.30,0.00,1,11,4,1
134,1,0.00,0.10,0.50,0,1,2,6
135,1,0.90,0.80,0.50,1,10,9,6
136,0,0.00,0.40,0.50,0,1,5,6
137,1,0.40,0.50,0.70,0,5,6,8
138,1,0.00,0.60,1.00,0,1,7,11
139,0,0.50,0.40,0.20,1,6,5,3
140,0,1.00,0.20,0.00,1,11,3,1
141,1,0.50,0.60,0.70,0,6,7,8
142,1,0.70,0.60,0.40,1,8,7,5
143,1,0.00,0.70,0.90,0,1,8,10
144,1,0.40,0.50,1.00,0,5,6,11
145,1,0.30,0.40,0.60,0,4,5,7
146,1,0.10,0.30,0.80,0,2,4,9
147,1,0.30,0.50,0.90,0,4,6,10
148,1,0.00,0.20,0.50,0,1,3,6
149,0,0.50,0.70,0.80,0,6,8,9
150,0,0.00,0.80,1.00,0,1,9,11
151,0,0.80,0.20,0.00,1,9,3,1
152,0,0.20,0.60,0.70,0,3,7,8
153,1,0.10,0.30,0.60,0,2,4,7
154,0,0.00,0.60,0.70,0,1,7,8
155,0,1.00,0.70,0.50,1,11,8,6
156,0,1.00,0.70,0.60,1,11,8,7
157,0,0.90,0.20,0.10,1,10,3,2
158,0,0.80,0.50,0.10,1,9,6,2
159,0,0.60,0.30,0.00,1,7,4,1
160,1,0.90,0.80,0.70,1,10,9,8
161,1,0.20,0.30,0.80,0,3,4,9
162,1,0.10,0.40,0.80,0,2,5,9
163,1,0.40,0.20,0.10,1,5,3,2
164,0,0.40,0.70,0.80,0,5,8,9
