Trial Response s1 s2 s3 invord i1 i2 i3
132 1 1.00 0.80 0.40 1 11 9 5
133 1 1.00 0.90 0.10 1 11 10 2
134 1 0.80 0.60 0.20 1 9 7 3
135 0 1.00 0.60 0.20 1 11 7 3
136 0 0.00 0.10 0.30 0 1 2 4
137 1 0.80 0.40 0.00 1 9 5 1
138 0 0.80 0.40 0.20 1 9 5 3
139 1 0.00 0.80 1.00 0 1 9 11
140 1 0.10 0.20 1.00 0 2 3 11
141 1 0.90 0.80 0.50 1 10 9 6
142 1 0.80 0.90 1.00 0 9 10 11
143 1 0.90 0.80 0.40 1 10 9 5
144 1 0.90 0.20 0.00 1 10 3 1
145 1 0.10 0.50 0.80 0 2 6 9
146 1 0.00 0.20 0.80 0 1 3 9
147 1 0.40 0.60 0.90 0 5 7 10
148 0 0.70 0.50 0.10 1 8 6 2
149 1 0.80 0.50 0.20 1 9 6 3
150 0 0.50 0.90 1.00 0 6 10 11
151 1 0.10 0.20 0.50 0 2 3 6
152 0 0.90 0.50 0.40 1 10 6 5
153 1 0.30 0.50 1.00 0 4 6 11
154 1 0.00 0.30 1.00 0 1 4 11
155 1 0.10 0.20 0.80 0 2 3 9
156 0 0.70 0.30 0.00 1 8 4 1
157 0 1.00 0.40 0.30 1 11 5 4
158 1 0.40 0.10 0.00 1 5 2 1
159 1 0.90 0.70 0.30 1 10 8 4
160 0 1.00 0.80 0.60 1 11 9 7
161 0 0.60 0.30 0.10 1 7 4 2
162 0 0.60 0.50 0.10 1 7 6 2
163 0 0.90 0.30 0.10 1 10 4 2
164 0 1.00 0.60 0.50 1 11 7 6
0 1 0.90 0.70 0.10 1 10 8 2
1 0 0.60 0.50 0.40 1 7 6 5
2 0 0.70 0.60 0.30 1 8 7 4
3 0 0.10 0.40 0.60 0 2 5 7
4 1 0.20 0.30 1.00 0 3 4 11
5 1 0.70 0.40 0.00 1 8 5 1
6 0 0.20 0.30 0.40 0 3 4 5
7 0 0.90 0.70 0.60 1 10 8 7
8 1 0.90 0.70 0.00 1 10 8 1
9 1 0.00 0.50 1.00 0 1 6 11
10 0 0.90 0.30 0.20 1 10 4 3
11 0 0.10 0.80 0.90 0 2 9 10
12 1 0.10 0.50 0.90 0 2 6 10
13 0 0.10 0.40 0.80 0 2 5 9
14 0 0.00 0.60 0.80 0 1 7 9
15 1 0.00 0.30 0.50 0 1 4 6
16 1 0.30 0.60 0.80 0 4 7 9
17 0 1.00 0.80 0.30 1 11 9 4
18 0 0.40 0.30 0.00 1 5 4 1
19 0 1.00 0.10 0.00 1 11 2 1
20 1 0.20 0.50 0.90 0 3 6 10
21 1 0.10 0.70 1.00 0 2 8 11
22 1 0.90 0.80 0.00 1 10 9 1
23 1 0.00 0.50 0.90 0 1 6 10
24 0 0.00 0.60 0.70 0 1 7 8
25 0 0.70 0.80 0.90 0 8 9 10
26 1 0.80 0.40 0.30 1 9 5 4
27 0 0.90 0.60 0.10 1 10 7 2
28 0 1.00 0.50 0.20 1 11 6 3
29 0 0.50 0.40 0.30 1 6 5 4
30 1 0.80 0.70 0.50 1 9 8 6
31 0 0.70 0.90 1.00 0 8 10 11
32 1 0.90 0.80 0.30 1 10 9 4
33 0 0.60 0.20 0.10 1 7 3 2
34 1 0.30 0.50 0.70 0 4 6 8
35 1 0.60 0.30 0.20 1 7 4 3
