Trial Response s1 s2 s3 invord i1 i2 i3
132 0 0.70 0.30 0.10 1 8 4 2
133 1 0.40 0.50 0.60 0 5 6 7
134 1 0.00 0.30 0.50 0 1 4 6
135 1 1.00 0.90 0.10 1 11 10 2
136 1 0.00 0.20 0.90 0 1 3 10
137 0 1.00 0.60 0.50 1 11 7 6
138 1 0.40 0.60 0.90 0 5 7 10
139 1 0.60 0.30 0.10 1 7 4 2
140 1 0.10 0.30 0.80 0 2 4 9
141 1 0.50 0.40 0.30 1 6 5 4
142 1 1.00 0.80 0.30 1 11 9 4
143 0 1.00 0.10 0.00 1 11 2 1
144 0 0.00 0.90 1.00 0 1 10 11
145 1 1.00 0.70 0.60 1 11 8 7
146 0 1.00 0.50 0.10 1 11 6 2
147 1 0.20 0.40 0.80 0 3 5 9
148 1 0.10 0.40 1.00 0 2 5 11
149 0 0.50 0.60 0.70 0 6 7 8
150 0 0.90 0.40 0.10 1 10 5 2
151 1 0.00 0.20 0.70 0 1 3 8
152 0 0.90 0.70 0.20 1 10 8 3
153 1 0.10 0.40 0.70 0 2 5 8
154 1 0.20 0.30 0.80 0 3 4 9
155 1 0.50 0.20 0.10 1 6 3 2
156 0 0.00 0.70 0.90 0 1 8 10
157 0 0.90 0.30 0.20 1 10 4 3
158 0 1.00 0.30 0.20 1 11 4 3
159 0 0.70 0.50 0.20 1 8 6 3
160 1 1.00 0.70 0.10 1 11 8 2
161 0 0.50 0.40 0.00 1 6 5 1
162 0 0.80 0.60 0.50 1 9 7 6
163 0 1.00 0.70 0.40 1 11 8 5
164 0 0.20 0.40 0.70 0 3 5 8
0 0 0.50 0.30 0.10 1 6 4 2
1 1 0.10 0.50 0.90 0 2 6 10
2 0 0.50 0.80 0.90 0 6 9 10
3 0 0.80 0.50 0.30 1 9 6 4
4 0 0.30 0.50 0.60 0 4 6 7
5 1 0.20 0.60 0.90 0 3 7 10
6 0 0.70 0.30 0.00 1 8 4 1
7 0 0.00 0.50 0.60 0 1 6 7
8 1 0.20 0.70 0.80 0 3 8 9
9 1 0.60 0.40 0.30 1 7 5 4
10 0 1.00 0.50 0.40 1 11 6 5
11 1 0.80 0.60 0.00 1 9 7 1
12 0 1.00 0.90 0.60 1 11 10 7
13 1 1.00 0.80 0.50 1 11 9 6
14 1 0.60 0.30 0.20 1 7 4 3
15 0 0.90 0.70 0.30 1 10 8 4
16 1 0.30 0.40 1.00 0 4 5 11
17 1 0.20 0.30 0.40 0 3 4 5
18 0 0.20 0.50 0.60 0 3 6 7
19 1 0.50 0.70 0.80 0 6 8 9
20 1 0.00 0.30 0.80 0 1 4 9
21 1 0.20 0.60 1.00 0 3 7 11
22 0 0.70 0.40 0.30 1 8 5 4
23 0 0.40 0.30 0.00 1 5 4 1
24 0 0.80 0.20 0.00 1 9 3 1
25 0 1.00 0.30 0.00 1 11 4 1
26 1 0.20 0.50 0.90 0 3 6 10
27 0 0.20 0.10 0.00 1 3 2 1
28 1 0.70 0.60 0.00 1 8 7 1
29 0 0.00 0.50 0.80 0 1 6 9
30 0 0.90 0.80 0.30 1 10 9 4
31 0 0.20 0.80 1.00 0 3 9 11
32 0 1.00 0.40 0.00 1 11 5 1
33 1 0.80 0.70 0.30 1 9 8 4
34 1 1.00 0.90 0.40 1 11 10 5
35 1 0.70 0.50 0.40 1 8 6 5
36 0 0.30 0.60 0.80 0 4 7 9
37 0 0.10 0.40 0.50 0 2 5 6
38 1 0.00 0.20 0.40 0 1 3 5
39 1 0.80 0.70 0.60 1 9 8 7
40 1 0.30 0.60 0.90 0 4 7 10
41 1 0.40 0.60 0.80 0 5 7 9
42 1 0.10 0.50 0.80 0 2 6 9
43 1 1.00 0.60 0.40 1 11 7 5
44 0 0.00 0.40 0.80 0 1 5 9
45 0 0.40 0.70 0.90 0 5 8 10
