Run Block Trial Response s1 s2 s3 invord i1 i2 i3 f1 f2 f3 responsetime
0 1 21 1 60.0 50.0 0.0 1 7 6 1 4 12 14 1.4193239212
0 1 22 1 20.0 30.0 40.0 0 3 4 5 6 8 11 2.33083605766
0 1 23 1 0.0 30.0 40.0 0 1 4 5 10 11 14 5.88143897057
0 1 24 0 60.0 40.0 20.0 1 7 5 3 2 8 13 3.34509396553
0 1 25 0 70.0 50.0 0.0 1 8 6 1 1 6 11 0.707108974457
0 1 26 1 10.0 20.0 40.0 0 2 3 5 7 8 10 1.74000811577
0 1 27 0 70.0 40.0 20.0 1 8 5 3 0 10 14 1.00195407867
0 1 28 0 40.0 50.0 60.0 0 5 6 7 2 13 14 1.80359101295
0 1 29 1 0.0 20.0 50.0 0 1 3 6 0 4 7 1.99210500717
0 1 30 1 70.0 60.0 40.0 1 8 7 5 2 11 13 1.50696516037
0 1 31 1 0.0 10.0 70.0 0 1 2 8 5 6 9 1.34504103661
0 1 32 0 60.0 30.0 0.0 1 7 4 1 2 4 5 1.18125700951
0 1 33 1 20.0 30.0 60.0 0 3 4 7 4 6 13 0.854619026184
0 1 34 1 20.0 30.0 50.0 0 3 4 6 6 8 9 1.62956595421
0 1 35 0 70.0 40.0 30.0 1 8 5 4 3 8 13 1.07375407219
0 1 36 0 50.0 30.0 10.0 1 6 4 2 3 4 9 1.51267290115
0 1 37 1 60.0 50.0 30.0 1 7 6 4 3 6 10 6.84371089935
0 1 38 1 10.0 50.0 70.0 0 2 6 8 5 11 12 1.21810817719
0 1 39 0 60.0 10.0 0.0 1 7 2 1 7 8 13 1.44380497932
0 1 40 0 30.0 20.0 0.0 1 4 3 1 4 5 12 3.17008304596
0 1 41 1 10.0 40.0 70.0 0 2 5 8 3 6 14 3.07755589485
0 1 42 1 10.0 30.0 70.0 0 2 4 8 0 8 13 0.782149076462
0 1 43 1 20.0 30.0 70.0 0 3 4 8 2 7 14 1.26317214966
0 1 44 0 30.0 60.0 70.0 0 4 7 8 5 12 13 2.01780796051
0 1 45 1 50.0 40.0 0.0 1 6 5 1 1 3 8 1.80978703499
0 1 46 0 10.0 50.0 60.0 0 2 6 7 4 10 13 1.66197395325
0 1 47 0 60.0 40.0 10.0 1 7 5 2 6 11 12 6.15777802467
0 1 48 0 20.0 40.0 50.0 0 3 5 6 1 3 4 3.71075487137
0 1 49 1 0.0 20.0 40.0 0 1 3 5 2 11 12 1.33471417427
0 1 50 0 20.0 10.0 0.0 1 3 2 1 0 12 14 2.1875538826
0 1 51 0 60.0 20.0 10.0 1 7 3 2 3 5 6 1.11398696899
0 1 52 0 70.0 20.0 10.0 1 8 3 2 0 1 13 0.676801919937
0 1 53 1 70.0 60.0 20.0 1 8 7 3 3 13 14 2.12993407249
0 1 54 1 0.0 20.0 60.0 0 1 3 7 9 11 14 1.22809505463
0 1 55 0 0.0 60.0 70.0 0 1 7 8 1 4 12 1.18969798088
0 2 0 0 70.0 40.0 0.0 1 8 5 1 2 6 12 0.711993932724
0 2 1 0 50.0 20.0 10.0 1 6 3 2 2 11 13 1.55491495132
0 2 2 1 70.0 60.0 10.0 1 8 7 2 3 5 6 1.03486609459
0 2 3 1 0.0 20.0 70.0 0 1 3 8 2 3 10 1.07386398315
0 2 4 1 50.0 60.0 70.0 0 6 7 8 0 1 14 3.69628000259
0 2 5 0 70.0 50.0 40.0 1 8 6 5 4 5 13 1.03529906273
0 2 6 1 30.0 40.0 50.0 0 4 5 6 8 11 13 4.99581408501
0 2 7 1 0.0 10.0 40.0 0 1 2 5 7 12 13 1.95816016197
0 2 8 0 60.0 30.0 10.0 1 7 4 2 2 7 11 1.04002213478
0 2 9 1 10.0 20.0 30.0 0 2 3 4 7 8 14 3.57301807404
0 2 10 0 70.0 50.0 30.0 1 8 6 4 2 5 6 1.7647600174
0 2 11 0 60.0 40.0 30.0 1 7 5 4 5 10 12 2.39250612259
0 2 12 1 60.0 50.0 20.0 1 7 6 3 2 5 9 2.58140897751
