Run Block Trial Response s1 s2 s3 invord i1 i2 i3 f1 f2 f3 responsetime
0 1 21 0 60.0 40.0 30.0 1 7 5 4 2 10 11 6.17877316475
0 1 22 0 60.0 20.0 0.0 1 7 3 1 1 9 10 1.84263586998
0 1 23 1 60.0 50.0 0.0 1 7 6 1 7 10 12 13.4677431583
0 1 24 1 70.0 60.0 30.0 1 8 7 4 9 10 13 10.7963709831
0 1 25 1 10.0 30.0 50.0 0 2 4 6 0 3 10 2.13691806793
0 1 26 0 50.0 30.0 20.0 1 6 4 3 2 12 14 1.77000498772
0 1 27 1 0.0 20.0 40.0 0 1 3 5 5 9 13 1.98713302612
0 1 28 1 60.0 50.0 20.0 1 7 6 3 0 5 9 4.20570206642
0 1 29 1 70.0 60.0 20.0 1 8 7 3 4 10 14 3.75568199158
0 1 30 1 30.0 50.0 70.0 0 4 6 8 5 10 11 3.68312096596
0 1 31 0 10.0 60.0 70.0 0 2 7 8 0 1 3 6.41606402397
0 1 32 1 20.0 30.0 40.0 0 3 4 5 5 6 11 3.74702787399
0 1 33 0 40.0 20.0 10.0 1 5 3 2 1 2 12 1.74593901634
0 1 34 0 50.0 40.0 30.0 1 6 5 4 5 6 7 3.84526586533
0 1 35 0 50.0 20.0 0.0 1 6 3 1 4 5 8 1.74017000198
0 1 36 1 20.0 40.0 70.0 0 3 5 8 1 8 9 2.99945497513
0 1 37 0 10.0 40.0 50.0 0 2 5 6 3 11 14 16.1790997982
0 1 38 1 10.0 30.0 60.0 0 2 4 7 3 11 13 1.36477303505
0 1 39 1 10.0 20.0 70.0 0 2 3 8 0 3 14 1.90978908539
0 1 40 1 30.0 20.0 10.0 1 4 3 2 4 5 10 10.2630162239
0 1 41 1 20.0 30.0 60.0 0 3 4 7 1 4 12 1.25654006004
0 1 42 1 10.0 30.0 70.0 0 2 4 8 3 4 12 0.994063138962
0 1 43 1 0.0 40.0 60.0 0 1 5 7 9 10 11 4.8954501152
0 1 44 0 70.0 50.0 0.0 1 8 6 1 1 7 12 4.21971607208
0 1 45 1 40.0 30.0 0.0 1 5 4 1 6 10 14 7.02348804474
0 1 46 1 60.0 50.0 30.0 1 7 6 4 2 5 7 3.95151996613
0 1 47 1 70.0 50.0 10.0 1 8 6 2 1 2 5 11.2354490757
0 1 48 0 50.0 10.0 0.0 1 6 2 1 8 13 14 3.15287303925
0 1 49 1 0.0 10.0 40.0 0 1 2 5 4 6 11 1.40589094162
0 1 50 1 20.0 40.0 50.0 0 3 5 6 6 7 9 2.27884316444
0 1 51 0 40.0 30.0 10.0 1 5 4 2 2 6 10 5.49831104279
0 1 52 1 0.0 30.0 50.0 0 1 4 6 5 12 13 2.21447587013
0 1 53 0 60.0 50.0 40.0 1 7 6 5 11 13 14 3.90640521049
0 1 54 1 10.0 40.0 70.0 0 2 5 8 0 11 13 1.46979379654
0 1 55 0 20.0 10.0 0.0 1 3 2 1 4 6 9 10.6853749752
0 2 0 1 30.0 40.0 70.0 0 4 5 8 0 5 7 1.14272999763
0 2 1 0 70.0 10.0 0.0 1 8 2 1 6 11 14 1.28712201118
0 2 2 1 0.0 20.0 30.0 0 1 3 4 4 5 12 2.94107794762
0 2 3 1 20.0 30.0 70.0 0 3 4 8 3 11 13 2.45985007286
0 2 4 0 70.0 30.0 0.0 1 8 4 1 1 4 14 1.1417119503
0 2 5 1 20.0 50.0 70.0 0 3 6 8 1 13 14 3.57516312599
0 2 6 0 50.0 20.0 10.0 1 6 3 2 4 6 8 2.02392506599
0 2 7 1 10.0 50.0 60.0 0 2 6 7 0 3 7 19.9875259399
0 2 8 1 10.0 20.0 60.0 0 2 3 7 0 10 13 1.22723889351
0 2 9 0 0.0 60.0 70.0 0 1 7 8 6 9 13 1.50094604492
0 2 10 1 0.0 30.0 60.0 0 1 4 7 3 7 10 1.17596292496
0 2 11 1 20.0 40.0 60.0 0 3 5 7 1 2 8 1.15793395042
0 2 12 0 30.0 10.0 0.0 1 4 2 1 6 11 13 1.87724900246
0 2 13 0 70.0 50.0 40.0 1 8 6 5 0 1 13 4.98535704613
0 2 14 0 50.0 40.0 0.0 1 6 5 1 7 8 12 12.6463201046
0 2 15 0 70.0 20.0 0.0 1 8 3 1 1 9 10 1.59135103226
0 2 16 0 40.0 60.0 70.0 0 5 7 8 4 11 13 4.18706607819
0 2 17 0 60.0 10.0 0.0 1 7 2 1 5 11 14 1.14328503609
0 2 18 0 60.0 40.0 10.0 1 7 5 2 8 11 12 6.94100999832
0 2 19 1 50.0 60.0 70.0 0 6 7 8 3 7 13 6.43172383308
0 2 20 1 0.0 40.0 70.0 0 1 5 8 1 5 12 1.39013886452
0 2 21 0 60.0 40.0 30.0 1 7 5 4 3 9 14 18.8933501244
0 2 22 0 60.0 20.0 0.0 1 7 3 1 0 8 12 1.61868786812
0 2 23 1 60.0 50.0 0.0 1 7 6 1 2 6 14 5.86756801605
0 2 24 1 70.0 60.0 30.0 1 8 7 4 4 6 7 6.1506049633
0 2 25 1 10.0 30.0 50.0 0 2 4 6 2 9 13 3.15318107605
0 2 26 0 50.0 30.0 20.0 1 6 4 3 3 4 13 1.66076111794
0 2 27 1 0.0 20.0 40.0 0 1 3 5 5 6 7 1.84135007858
0 2 28 1 60.0 50.0 20.0 1 7 6 3 6 8 13 21.0759260654
0 2 29 1 70.0 60.0 20.0 1 8 7 3 2 9 12 12.4714281559
0 2 30 1 30.0 50.0 70.0 0 4 6 8 7 9 14 1.17777919769
0 2 31 0 10.0 60.0 70.0 0 2 7 8 4 8 12 2.04230117798
0 2 32 1 20.0 30.0 40.0 0 3 4 5 1 6 10 3.78823900223
0 2 33 0 40.0 20.0 10.0 1 5 3 2 4 9 12 2.20657896996
